Sno,Molecule,Frequency (cm-1),IR Intensity,vibrational_modes
11,(C2H5O)2,435.8146,0.0052,39
11,(C2H5O)2,818.1518,0,39
11,(C2H5O)2,829.9356,0.8044,39
11,(C2H5O)2,855.5866,8.8706,39
11,(C2H5O)2,943.0852,5.9421,39
11,(C2H5O)2,1049.269,13.235,39
11,(C2H5O)2,1094.6759,14.2578,39
11,(C2H5O)2,1144.914,213.1762,39
11,(C2H5O)2,1166.5204,0,39
11,(C2H5O)2,1175.3736,20.5577,39
11,(C2H5O)2,1193.8919,11.2156,39
11,(C2H5O)2,1294.6392,0,39
11,(C2H5O)2,1300.6447,4.0731,39
11,(C2H5O)2,1380.5573,33.0005,39
11,(C2H5O)2,1403.5085,1.2707,39
11,(C2H5O)2,1412.2126,30.3903,39
11,(C2H5O)2,1446.0716,4.2731,39
11,(C2H5O)2,1482.9383,0,39
11,(C2H5O)2,1483.1201,13.4008,39
11,(C2H5O)2,1498.3324,3.5318,39
11,(C2H5O)2,1501.3994,3.8806,39
11,(C2H5O)2,1516.3471,2.2572,39
11,(C2H5O)2,1533.5492,2.3517,39
11,(C2H5O)2,2947.1896,11.3064,39
11,(C2H5O)2,2959.1233,121.1935,39
11,(C2H5O)2,2974.4186,122.9401,39
11,(C2H5O)2,2976.0964,0,39
11,(C2H5O)2,3033.033,35.2636,39
11,(C2H5O)2,3033.5693,6.4813,39
11,(C2H5O)2,3098.4797,18.0679,39
11,(C2H5O)2,3098.7784,42.2387,39
11,(C2H5O)2,3105.8592,0,39
11,(C2H5O)2,3106.0708,61.9924,39
12,(CH3)2O,206.6496,0,21
12,(CH3)2O,241.9413,7.2965,21
12,(CH3)2O,408.8054,2.1742,21
12,(CH3)2O,936.1324,42.377,21
12,(CH3)2O,1114.7152,46.5483,21
12,(CH3)2O,1156.7186,0,21
12,(CH3)2O,1186.9356,6.5808,21
12,(CH3)2O,1193.1381,100.0613,21
12,(CH3)2O,1262.4273,4.7033,21
12,(CH3)2O,1459.043,2.2414,21
12,(CH3)2O,1479.5307,0,21
12,(CH3)2O,1485.0747,0.3547,21
12,(CH3)2O,1487.9815,15.331,21
12,(CH3)2O,1494.7037,14.6101,21
12,(CH3)2O,1513.1902,2.6861,21
12,(CH3)2O,2957.7996,60.0939,21
12,(CH3)2O,2970.0035,76.3837,21
12,(CH3)2O,3003.6683,145.4097,21
12,(CH3)2O,3007.8798,0,21
12,(CH3)2O,3113.1619,33.0907,21
12,(CH3)2O,3114.3251,21.6372,21
13,BH3,1158.0215,88.4125,6
13,BH3,1197.5852,14.1226,6
13,BH3,1197.5856,14.1232,6
13,BH3,2553.3892,0,6
13,BH3,2681.7439,132.7147,6
13,BH3,2681.7446,132.7147,6
14,C2H4,834.4924,0.6995,12
14,C2H4,974.3553,112.4217,12
14,C2H4,976.4458,0,12
14,C2H4,1058.3251,0,12
14,C2H4,1238.009,0,12
14,C2H4,1377.3156,0,12
14,C2H4,1471.4786,10.1203,12
14,C2H4,1683.5625,0,12
14,C2H4,3122.048,16.9895,12
14,C2H4,3136.4646,0,12
14,C2H4,3193.8235,0,12
14,C2H4,3222.227,25.6038,12
15,C2H4O,817.9511,0.1906,15
15,C2H4O,838.0698,11.7899,15
15,C2H4O,884.2983,78.4368,15
15,C2H4O,1039.1701,0,15
15,C2H4O,1140.5251,0.0092,15
15,C2H4O,1149.7508,2.0335,15
15,C2H4O,1164.6381,3.798,15
15,C2H4O,1172.0327,0,15
15,C2H4O,1298.6672,15.0917,15
15,C2H4O,1502.1193,0.0617,15
15,C2H4O,1536.4271,3.6336,15
15,C2H4O,3081.7412,37.3495,15
15,C2H4O,3088.5266,15.8925,15
15,C2H4O,3163.7195,0,15
15,C2H4O,3178.8048,48.6577,15
16,C2H6,308.1118,0,18
16,C2H6,827.3446,4.1064,18
16,C2H6,827.3683,4.1058,18
16,C2H6,997.388,0,18
16,C2H6,1217.9119,0,18
16,C2H6,1217.9678,0,18
16,C2H6,1408.5953,2.0014,18
16,C2H6,1423.7948,0,18
16,C2H6,1503.3759,0,18
16,C2H6,1503.3959,0,18
16,C2H6,1505.5468,11.4616,18
16,C2H6,1505.5929,11.4622,18
16,C2H6,3023.4805,0.0004,18
16,C2H6,3023.6359,64.7321,18
16,C2H6,3069.0092,0,18
16,C2H6,3069.0223,0,18
16,C2H6,3094.0363,72.4648,18
16,C2H6,3094.0488,72.4626,18
17,C2H6SO,173.1312,0.0036,24
17,C2H6SO,218.0147,0.3954,24
17,C2H6SO,278.1098,0.4766,24
17,C2H6SO,305.0037,9.3673,24
17,C2H6SO,356.4019,8.6188,24
17,C2H6SO,623.4237,8.9131,24
17,C2H6SO,653.2632,18.5988,24
17,C2H6SO,895.4532,1.1986,24
17,C2H6SO,928.7751,6.0767,24
17,C2H6SO,954.0758,24.7333,24
17,C2H6SO,1025.1255,14.7881,24
17,C2H6SO,1051.1725,135.8596,24
17,C2H6SO,1320.0303,1.6399,24
17,C2H6SO,1342.8606,8.1055,24
17,C2H6SO,1440.0114,11.1627,24
17,C2H6SO,1453.2548,4.9738,24
17,C2H6SO,1455.2919,0.0032,24
17,C2H6SO,1470.7692,25.2426,24
17,C2H6SO,3037.3745,5.0891,24
17,C2H6SO,3039.8069,9.1857,24
17,C2H6SO,3134.5906,0.1023,24
17,C2H6SO,3138.5793,11.0772,24
17,C2H6SO,3146.7806,1.4076,24
17,C2H6SO,3147.4633,3.4456,24
18,C3H8,220.9179,0,27
18,C3H8,270.0561,0.0004,27
18,C3H8,367.3421,0.0515,27
18,C3H8,752.8913,3.1283,27
18,C3H8,870.3755,0.8269,27
18,C3H8,912.2303,0,27
18,C3H8,932.364,1.5957,27
18,C3H8,1057.1402,1.0671,27
18,C3H8,1174.6502,1.2699,27
18,C3H8,1211.2245,0.1436,27
18,C3H8,1316.6205,0,27
18,C3H8,1366.8375,2.61,27
18,C3H8,1404.2129,5.7488,27
18,C3H8,1421.0535,3.3643,27
18,C3H8,1490.3279,0,27
18,C3H8,1491.7687,0.0077,27
18,C3H8,1497.115,2.4666,27
18,C3H8,1507.4756,15.537,27
18,C3H8,1512.7806,6.7209,27
18,C3H8,3011.5493,22.3146,27
18,C3H8,3013.2312,38.4014,27
18,C3H8,3016.9913,30.7591,27
18,C3H8,3031.5822,4.2163,27
18,C3H8,3069.5258,0,27
18,C3H8,3079.9287,32.651,27
18,C3H8,3080.8217,106.1152,27
18,C3H8,3082.5205,57.1471,27
19,C4H8O,253.5222,1.0187,36
19,C4H8O,266.6049,22.0298,36
19,C4H8O,416.1222,0,36
19,C4H8O,439.9236,0,36
19,C4H8O,490.4145,0,36
19,C4H8O,616.4183,14.861,36
19,C4H8O,840.0137,0,36
19,C4H8O,860.9589,0,36
19,C4H8O,882.0008,75.4942,36
19,C4H8O,891.5762,21.5116,36
19,C4H8O,1016.0742,0,36
19,C4H8O,1061.0615,9.6588,36
19,C4H8O,1102.075,13.5456,36
19,C4H8O,1127.1206,0,36
19,C4H8O,1133.1545,178.3272,36
19,C4H8O,1143.3149,0,36
19,C4H8O,1237.9449,0,36
19,C4H8O,1279.2545,39.8572,36
19,C4H8O,1315.811,9.1672,36
19,C4H8O,1326.0099,0,36
19,C4H8O,1358.1136,0,36
19,C4H8O,1387.4692,15.1578,36
19,C4H8O,1405.1106,3.751,36
19,C4H8O,1416.7503,0,36
19,C4H8O,1480.8605,0,36
19,C4H8O,1481.8078,1.5229,36
19,C4H8O,1489.033,15.1295,36
19,C4H8O,1494.1321,0,36
19,C4H8O,2970.7065,51.6574,36
19,C4H8O,2977.3137,0,36
19,C4H8O,2982.5531,0,36
19,C4H8O,2987.1007,170.5663,36
19,C4H8O,3086.3126,92.1687,36
19,C4H8O,3086.5363,0,36
19,C4H8O,3087.5061,43.9741,36
19,C4H8O,3088.1112,0,36
20,CCl4,219.9542,0,9
20,CCl4,219.9542,0,9
20,CCl4,314.7516,0.5108,9
20,CCl4,314.7516,0.5108,9
20,CCl4,314.7516,0.5108,9
20,CCl4,448.0778,0,9
20,CCl4,737.3819,194.6452,9
20,CCl4,737.3819,194.6452,9
20,CCl4,737.3819,194.6452,9
21,CF4,428.0375,0,9
21,CF4,428.0375,0,9
21,CF4,617.2088,3.6973,9
21,CF4,617.2088,3.6973,9
21,CF4,617.2088,3.6973,9
21,CF4,892.3204,0,9
21,CF4,1236.7528,467.837,9
21,CF4,1236.7528,467.837,9
21,CF4,1236.7528,467.837,9
22,CH3CH2COOH,49.2456,0.0016,27
22,CH3CH2COOH,206.4225,0.0022,27
22,CH3CH2COOH,248.9208,2.7148,27
22,CH3CH2COOH,466.1348,20.3771,27
22,CH3CH2COOH,516.8752,30.4664,27
22,CH3CH2COOH,614.0855,16.8051,27
22,CH3CH2COOH,646.3691,90.9417,27
22,CH3CH2COOH,814.0369,9.6342,27
22,CH3CH2COOH,814.3914,16.2352,27
22,CH3CH2COOH,1012.4736,0.9964,27
22,CH3CH2COOH,1080.9021,92.7739,27
22,CH3CH2COOH,1110.9891,0.3347,27
22,CH3CH2COOH,1160.2747,246.2324,27
22,CH3CH2COOH,1284.5479,0.0839,27
22,CH3CH2COOH,1300.6915,2.9866,27
22,CH3CH2COOH,1400.3969,50.5888,27
22,CH3CH2COOH,1422.0232,3.2402,27
22,CH3CH2COOH,1461.3675,16.5384,27
22,CH3CH2COOH,1494.8263,7.7374,27
22,CH3CH2COOH,1503.2022,10.2794,27
22,CH3CH2COOH,1813.1344,313.8179,27
22,CH3CH2COOH,3036.4984,11.3112,27
22,CH3CH2COOH,3043.1398,20.3311,27
22,CH3CH2COOH,3062.1504,3.2834,27
22,CH3CH2COOH,3107.9899,21.6323,27
22,CH3CH2COOH,3114.5021,22.9921,27
22,CH3CH2COOH,3759.5879,62.7568,27
23,CH3CH2OH,229.2902,86.6802,21
23,CH3CH2OH,269.8386,50.3189,21
23,CH3CH2OH,416.7463,12.5842,21
23,CH3CH2OH,820.325,0.2004,21
23,CH3CH2OH,895.5648,14.9754,21
23,CH3CH2OH,1031.3258,66.9138,21
23,CH3CH2OH,1093.3312,24.8105,21
23,CH3CH2OH,1175.2513,3.6037,21
23,CH3CH2OH,1261.2161,68.7735,21
23,CH3CH2OH,1298.0621,0.0864,21
23,CH3CH2OH,1402.972,1.9415,21
23,CH3CH2OH,1445.752,13.1032,21
23,CH3CH2OH,1481.0122,6.8316,21
23,CH3CH2OH,1499.5604,3.1732,21
23,CH3CH2OH,1524.8999,1.6398,21
23,CH3CH2OH,2978.9776,71.4928,21
23,CH3CH2OH,3005.1718,52.2748,21
23,CH3CH2OH,3032.2145,16.6293,21
23,CH3CH2OH,3098.0864,30.7494,21
23,CH3CH2OH,3105.111,33.5467,21
23,CH3CH2OH,3843.9611,28.2198,21
24,CH3CN,381.7516,0.1693,12
24,CH3CN,381.7518,0.1693,12
24,CH3CN,929.7559,1.5725,12
24,CH3CN,1061.2377,2.1955,12
24,CH3CN,1061.2377,2.1955,12
24,CH3CN,1411.508,3.0218,12
24,CH3CN,1474.8549,12.1229,12
24,CH3CN,1474.8549,12.1232,12
24,CH3CN,2362.8365,11.9707,12
24,CH3CN,3046.3336,3.4748,12
24,CH3CN,3116.2274,1.2751,12
24,CH3CN,3116.2275,1.2751,12
25,CH3COCH3,-29.5437,0,24
25,CH3COCH3,126.7262,0.0289,24
25,CH3COCH3,380.6825,1.5668,24
25,CH3COCH3,490.223,0.4542,24
25,CH3COCH3,536.0544,13.5981,24
25,CH3COCH3,783.4282,1.6507,24
25,CH3COCH3,882.8423,0,24
25,CH3COCH3,885.8595,8.529,24
25,CH3COCH3,1083.1688,0.0008,24
25,CH3COCH3,1116.5109,2.6062,24
25,CH3COCH3,1232.8324,74.3305,24
25,CH3COCH3,1385.7999,21.4044,24
25,CH3COCH3,1386.5329,61.6448,24
25,CH3COCH3,1460.0247,0.8457,24
25,CH3COCH3,1464.7712,0,24
25,CH3COCH3,1470.5524,31.9942,24
25,CH3COCH3,1487.2202,24.156,24
25,CH3COCH3,1784.8274,207.8697,24
25,CH3COCH3,3023.5848,1.4201,24
25,CH3COCH3,3030.7409,7.6139,24
25,CH3COCH3,3078.0815,0,24
25,CH3COCH3,3085.4452,20.0956,24
25,CH3COCH3,3139.0034,12.3933,24
25,CH3COCH3,3140.0038,7.3225,24
26,CH3OH,296.3851,134.9272,12
26,CH3OH,1042.698,129.0148,12
26,CH3OH,1070.4294,0.6768,12
26,CH3OH,1167.6936,0.2283,12
26,CH3OH,1356.1045,20.7846,12
26,CH3OH,1479.9567,5.0851,12
26,CH3OH,1493.7916,3.2679,12
26,CH3OH,1505.016,5.0205,12
26,CH3OH,2989.1931,68.4606,12
26,CH3OH,3036.4092,63.7991,12
26,CH3OH,3112.4403,27.3503,12
26,CH3OH,3847.8464,30.1008,12
27,CH4,1339.5198,18.143,9
27,CH4,1339.5198,18.143,9
27,CH4,1339.5198,18.143,9
27,CH4,1557.6391,0,9
27,CH4,1557.6391,0,9
27,CH4,3026.2487,0,9
27,CH4,3131.5537,25.9299,9
27,CH4,3131.5537,25.9299,9
27,CH4,3131.5537,25.9299,9
28,CNH3O,227.87,234.5492,12
28,CNH3O,567.9085,10.5718,12
28,CNH3O,633.8886,17.2106,12
28,CNH3O,1037.393,2.6273,12
28,CNH3O,1053.2566,5.1544,12
28,CNH3O,1263.6577,116.5977,12
28,CNH3O,1416.0664,6.5127,12
28,CNH3O,1617.9064,61.9522,12
28,CNH3O,1788.7986,465.829,12
28,CNH3O,2946.8986,103.4654,12
28,CNH3O,3581.0708,35.687,12
28,CNH3O,3718.3473,45.1198,12
29,CO2,668.4649,33.0586,4
29,CO2,668.4649,33.0586,4
29,CO2,1373.0731,0,4
29,CO2,2420.2601,711.472,4
30,H2O2,361.1479,228.0486,6
30,H2O2,932.391,1.1146,6
30,H2O2,1294.7729,92.014,6
30,H2O2,1452.4442,0.0009,6
30,H2O2,3778.7132,67.9014,6
30,H2O2,3779.6758,13.3561,6
31,C5NH5,380.6692,0,27
31,C5NH5,417.0513,4.0081,27
31,C5NH5,616.1672,3.6045,27
31,C5NH5,669.1388,0.2994,27
31,C5NH5,714.3911,67.2472,27
31,C5NH5,757.7064,11.7035,27
31,C5NH5,892.775,0,27
31,C5NH5,954.3482,0.0269,27
31,C5NH5,996.7762,0,27
31,C5NH5,1005.7789,0.0061,27
31,C5NH5,1010.2599,4.8554,27
31,C5NH5,1046.8579,6.186,27
31,C5NH5,1076.3553,0.002,27
31,C5NH5,1092.4471,5.2786,27
31,C5NH5,1169.9591,2.4481,27
31,C5NH5,1241.4699,4.6516,27
31,C5NH5,1284.0612,0.0394,27
31,C5NH5,1383.7926,0.0492,27
31,C5NH5,1469.7323,26.9123,27
31,C5NH5,1510.1584,2.4688,27
31,C5NH5,1617.2358,10.1098,27
31,C5NH5,1623.7553,23.8424,27
31,C5NH5,3147.1701,27.8742,27
31,C5NH5,3149.498,4.0492,27
31,C5NH5,3169.6958,5.0842,27
31,C5NH5,3185.59,25.2686,27
31,C5NH5,3193.3758,6.8394,27
32,HBO2,464.3163,51.1158,6
32,HBO2,517.6833,51.4943,6
32,HBO2,937.5828,177.952,6
32,HBO2,1027.8214,6.9915,6
32,HBO2,2080.5638,441.4599,6
32,HBO2,3878.6958,185.7384,6
33,C6H5OH,227.2498,1.5021,33
33,C6H5OH,310.4821,111.0831,33
33,C6H5OH,405.3147,10.3884,33
33,C6H5OH,417.0037,0.9042,33
33,C6H5OH,509.2648,14.0031,33
33,C6H5OH,535.7663,2.11,33
33,C6H5OH,632.6244,0.3775,33
33,C6H5OH,668.6833,9.7945,33
33,C6H5OH,748.8445,84.4554,33
33,C6H5OH,820.5816,0.0402,33
33,C6H5OH,827.5101,22.6398,33
33,C6H5OH,878.191,5.0724,33
33,C6H5OH,951.9225,0.1765,33
33,C6H5OH,971.9349,0.0509,33
33,C6H5OH,1012.4632,2.3727,33
33,C6H5OH,1042.6963,5.6405,33
33,C6H5OH,1092.6523,14.7011,33
33,C6H5OH,1176.4415,23.3984,33
33,C6H5OH,1190.0947,1.1569,33
33,C6H5OH,1192.1385,130.3889,33
33,C6H5OH,1275.4624,91.6762,33
33,C6H5OH,1348.5124,5.634,33
33,C6H5OH,1367.8085,27.4709,33
33,C6H5OH,1499.3002,22.8827,33
33,C6H5OH,1526.5049,59.837,33
33,C6H5OH,1635.3083,48.3283,33
33,C6H5OH,1646.0053,40.4829,33
33,C6H5OH,3147.4606,13.8245,33
33,C6H5OH,3166.4941,0.1066,33
33,C6H5OH,3175.165,16.6662,33
33,C6H5OH,3189.2772,16.3743,33
33,C6H5OH,3195.8924,4.3151,33
33,C6H5OH,3835.5275,61.5147,33
34,HF,4097.4889,130.1369,1
35,C6H6,409.3412,0,30
35,C6H6,409.3414,0,30
35,C6H6,622.1832,0,30
35,C6H6,622.1848,0,30
35,C6H6,686.1013,122.028,30
35,C6H6,719.1859,0.0001,30
35,C6H6,862.0968,0,30
35,C6H6,862.0975,0,30
35,C6H6,979.5108,0,30
35,C6H6,979.5109,0,30
35,C6H6,1010.8002,0,30
35,C6H6,1011.0831,0,30
35,C6H6,1022.2868,0,30
35,C6H6,1058.8761,6.4062,30
35,C6H6,1058.8766,6.4063,30
35,C6H6,1174.5234,0,30
35,C6H6,1197.1705,0,30
35,C6H6,1197.1707,0,30
35,C6H6,1336.4521,0,30
35,C6H6,1380.6654,0,30
35,C6H6,1510.2177,7.1085,30
35,C6H6,1510.2182,7.1079,30
35,C6H6,1633.699,0,30
35,C6H6,1633.6999,0,30
35,C6H6,3154.9422,0,30
35,C6H6,3165.1573,0,30
35,C6H6,3165.1574,0,30
35,C6H6,3180.8894,37.2685,30
35,C6H6,3180.8899,37.265,30
35,C6H6,3191.0383,0,30
37,H2S,1207.4716,4.5329,3
37,H2S,2674.0581,2.4144,3
37,H2S,2689.2375,2.7868,3
38,CHBr3,150.5744,0.0312,9
38,CHBr3,150.5749,0.0312,9
38,CHBr3,219.8219,0.0001,9
38,CHBr3,529.6813,0.4395,9
38,CHBr3,627.4406,126.7453,9
38,CHBr3,627.4555,126.7462,9
38,CHBr3,1169.5805,43.7528,9
38,CHBr3,1169.5808,43.752,9
38,CHBr3,3195.6115,4.4968,9
39,C4H4S,455.4207,0.6771,21
39,C4H4S,571.7006,0,21
39,C4H4S,613.2813,0.3603,21
39,C4H4S,689.8005,0,21
39,C4H4S,720.3992,142.672,21
39,C4H4S,744.3112,0.3939,21
39,C4H4S,834.6534,26.8738,21
39,C4H4S,876.6335,1.6328,21
39,C4H4S,885.7909,0.262,21
39,C4H4S,919.557,0,21
39,C4H4S,1051.904,3.1501,21
39,C4H4S,1105.8437,4.4682,21
39,C4H4S,1106.8921,5.039,21
39,C4H4S,1275.202,11.487,21
39,C4H4S,1393.3313,0.6898,21
39,C4H4S,1444.5577,11.4613,21
39,C4H4S,1552.4444,0.2529,21
39,C4H4S,3196.5845,3.8813,21
39,C4H4S,3209.9695,3.6728,21
39,C4H4S,3244.6757,0.0376,21
39,C4H4S,3247.3785,1.2474,21
40,C4NH5,346.5906,3.5036,24
40,C4NH5,407.8026,0,24
40,C4NH5,636.2281,9.9665,24
40,C4NH5,695.9758,3.0732,24
40,C4NH5,732.5655,44.021,24
40,C4NH5,819.8861,6.5124,24
40,C4NH5,974.9149,0.0194,24
40,C4NH5,993.4636,0,24
40,C4NH5,1010.3512,0.0008,24
40,C4NH5,1010.7509,3.536,24
40,C4NH5,1079.8842,1.0007,24
40,C4NH5,1093.5326,3.8795,24
40,C4NH5,1160.3853,0.916,24
40,C4NH5,1213.9333,4.4124,24
40,C4NH5,1252.2725,10.0287,24
40,C4NH5,1392.8227,0.2717,24
40,C4NH5,1434.5643,59.5692,24
40,C4NH5,1491.4468,6.3456,24
40,C4NH5,1607.2828,45.8955,24
40,C4NH5,1607.888,85.0145,24
40,C4NH5,3150.7032,14.1385,24
40,C4NH5,3153.8285,18.1968,24
40,C4NH5,3166.4252,13.5754,24
40,C4NH5,3197.8911,8.8885,24
41,C5H6,347.101,7.489,27
41,C5H6,523.0945,0,27
41,C5H6,678.9333,85.6352,27
41,C5H6,712.4662,0,27
41,C5H6,816.5676,0.0026,27
41,C5H6,818.9448,5.9714,27
41,C5H6,916.0385,33.4319,27
41,C5H6,924.589,11.8189,27
41,C5H6,954.4232,0,27
41,C5H6,955.2996,0.2757,27
41,C5H6,970.1871,16.3339,27
41,C5H6,1013.2117,0.2501,27
41,C5H6,1111.418,2.5425,27
41,C5H6,1124.7091,0,27
41,C5H6,1129.2177,0.2802,27
41,C5H6,1266.0348,2.1704,27
41,C5H6,1314.3125,0.9512,27
41,C5H6,1395.9004,17.3907,27
41,C5H6,1413.2046,9.7131,27
41,C5H6,1545.2337,1.1629,27
41,C5H6,1631.2379,0.0132,27
41,C5H6,3009.1027,9.5773,27
41,C5H6,3030.2063,7.2878,27
41,C5H6,3187.932,3.396,27
41,C5H6,3197.9517,11.6391,27
41,C5H6,3216.1964,17.6189,27
41,C5H6,3222.5836,2.0768,27
42,C6H12,230.9805,0.0002,48
42,C6H12,231.584,0.0002,48
42,C6H12,376.5496,0,48
42,C6H12,431.8368,0,48
42,C6H12,432.369,0,48
42,C6H12,522.6142,0.6358,48
42,C6H12,794.0731,0,48
42,C6H12,794.5157,0,48
42,C6H12,800.0142,0,48
42,C6H12,863.7959,2.1184,48
42,C6H12,864.1302,2.1135,48
42,C6H12,918.1603,1.9813,48
42,C6H12,918.4219,1.9552,48
42,C6H12,1035.3758,0,48
42,C6H12,1035.6097,0,48
42,C6H12,1041.4059,2.6036,48
42,C6H12,1077.2304,0,48
42,C6H12,1095.8768,0,48
42,C6H12,1131.1032,0,48
42,C6H12,1179.758,0,48
42,C6H12,1286.397,1.6573,48
42,C6H12,1286.707,1.6528,48
42,C6H12,1292.2761,0,48
42,C6H12,1292.363,0,48
42,C6H12,1349.8067,0,48
42,C6H12,1370.5974,0,48
42,C6H12,1376.4976,0,48
42,C6H12,1376.6021,0,48
42,C6H12,1383.9879,0.1239,48
42,C6H12,1384.0484,0.1244,48
42,C6H12,1484.5308,0,48
42,C6H12,1484.7844,0,48
42,C6H12,1489.7346,6.2956,48
42,C6H12,1489.9713,6.2873,48
42,C6H12,1495.054,15.1686,48
42,C6H12,1509.7703,0,48
42,C6H12,2992.3609,27.216,48
42,C6H12,2992.3993,27.2539,48
42,C6H12,2993.4991,0,48
42,C6H12,2999.7851,0,48
42,C6H12,2999.8156,0,48
42,C6H12,3002.9451,78.346,48
42,C6H12,3042.3118,127.4271,48
42,C6H12,3042.3611,127.3848,48
42,C6H12,3044.4142,0,48
42,C6H12,3044.4642,0,48
42,C6H12,3046.4492,0,48
42,C6H12,3052.4727,153.7115,48
43,C6H5CH3,-9.7074,0.2462,39
43,C6H5CH3,207.4232,2.3923,39
43,C6H5CH3,343.5811,0.3778,39
43,C6H5CH3,412.7246,0.0077,39
43,C6H5CH3,475.4848,9.7452,39
43,C6H5CH3,528.7321,0.5702,39
43,C6H5CH3,636.7219,0.0982,39
43,C6H5CH3,710.6094,32.6051,39
43,C6H5CH3,744.4735,48.5589,39
43,C6H5CH3,798.4324,0.8402,39
43,C6H5CH3,853.8154,0.0242,39
43,C6H5CH3,909.6117,0.7938,39
43,C6H5CH3,976.0046,0.0006,39
43,C6H5CH3,993.6615,0.0474,39
43,C6H5CH3,999.9765,0.1507,39
43,C6H5CH3,1017.0174,0.0832,39
43,C6H5CH3,1049.866,3.6463,39
43,C6H5CH3,1062.5118,8.39,39
43,C6H5CH3,1110.5303,6.3233,39
43,C6H5CH3,1180.5911,0.0552,39
43,C6H5CH3,1202.7705,0.4357,39
43,C6H5CH3,1228.7025,1.0068,39
43,C6H5CH3,1328.0311,0.0462,39
43,C6H5CH3,1355.4744,0.0012,39
43,C6H5CH3,1414.5575,1.1696,39
43,C6H5CH3,1468.1555,0.0102,39
43,C6H5CH3,1490.3293,7.2487,39
43,C6H5CH3,1502.0325,13.2714,39
43,C6H5CH3,1526.8538,13.6108,39
43,C6H5CH3,1622.7493,0.2552,39
43,C6H5CH3,1645.0553,9.0957,39
43,C6H5CH3,3020.007,29.3043,39
43,C6H5CH3,3073.5145,19.4838,39
43,C6H5CH3,3099.2416,16.769,39
43,C6H5CH3,3152.145,8.9106,39
43,C6H5CH3,3153.6549,6.152,39
43,C6H5CH3,3166.4564,6.9876,39
43,C6H5CH3,3174.9548,35.6766,39
43,C6H5CH3,3187.3945,14.067,39
44,C4H4N2,346.5906,3.5036,24
44,C4H4N2,407.8026,0,24
44,C4H4N2,636.2281,9.9665,24
44,C4H4N2,695.9758,3.0732,24
44,C4H4N2,732.5655,44.021,24
44,C4H4N2,819.8861,6.5124,24
44,C4H4N2,974.9149,0.0194,24
44,C4H4N2,993.4636,0,24
44,C4H4N2,1010.3512,0.0008,24
44,C4H4N2,1010.7509,3.536,24
44,C4H4N2,1079.8842,1.0007,24
44,C4H4N2,1093.5326,3.8795,24
